,ISIN,Position Date,Aggregated short
471,GB0006640972,2020-08-18 00:00:00,0.46
472,GB0006640972,2020-08-19 00:00:00,0.5
473,GB0006640972,2020-08-19 00:00:00,0.46
474,GB0006640972,2020-08-20 00:00:00,0.5
475,GB0006640972,2020-08-20 00:00:00,0.46
476,GB0006640972,2020-08-21 00:00:00,0.5
477,GB0006640972,2020-08-21 00:00:00,0.46
478,GB0006640972,2020-08-24 00:00:00,0.5
479,GB0006640972,2020-08-24 00:00:00,0.46
480,GB0006640972,2020-08-25 00:00:00,0.5
481,GB0006640972,2020-08-25 00:00:00,0.46
482,GB0006640972,2020-08-26 00:00:00,0.5
483,GB0006640972,2020-08-26 00:00:00,0.46
484,GB0006640972,2020-08-27 00:00:00,0.5
485,GB0006640972,2020-08-27 00:00:00,0.46
486,GB0006640972,2020-08-28 00:00:00,0.5
487,GB0006640972,2020-08-28 00:00:00,0.46
488,GB0006640972,2020-08-31 00:00:00,0.5
489,GB0006640972,2020-08-31 00:00:00,0.46
490,GB0006640972,2020-09-01 00:00:00,0.5
491,GB0006640972,2020-09-01 00:00:00,0.46
492,GB0006640972,2020-09-02 00:00:00,0.5
493,GB0006640972,2020-09-02 00:00:00,0.46
494,GB0006640972,2020-09-03 00:00:00,0.5
495,GB0006640972,2020-09-03 00:00:00,0.46
496,GB0006640972,2020-09-04 00:00:00,0.5
497,GB0006640972,2020-09-04 00:00:00,0.46
498,GB0006640972,2020-09-07 00:00:00,0.5
499,GB0006640972,2020-09-07 00:00:00,0.46
500,GB0006640972,2020-09-08 00:00:00,0.5
501,GB0006640972,2020-09-08 00:00:00,0.46
502,GB0006640972,2020-09-09 00:00:00,0.5
503,GB0006640972,2020-09-09 00:00:00,0.46
504,GB0006640972,2020-09-10 00:00:00,0.5
505,GB0006640972,2020-09-10 00:00:00,0.46
506,GB0006640972,2020-09-11 00:00:00,0.5
507,GB0006640972,2020-09-11 00:00:00,0.46
508,GB0006640972,2020-09-14 00:00:00,0.5
509,GB0006640972,2020-09-14 00:00:00,0.46
510,GB0006640972,2020-09-15 00:00:00,0.5
511,GB0006640972,2020-09-15 00:00:00,0.46
512,GB0006640972,2020-09-16 00:00:00,0.5
513,GB0006640972,2020-09-16 00:00:00,0.46
514,GB0006640972,2020-09-17 00:00:00,0.5
515,GB0006640972,2020-09-17 00:00:00,0.46
516,GB0006640972,2020-09-18 00:00:00,0.5
517,GB0006640972,2020-09-18 00:00:00,0.46
518,GB0006640972,2020-09-21 00:00:00,0.5
519,GB0006640972,2020-09-21 00:00:00,0.46
520,GB0006640972,2020-09-22 00:00:00,0.5
521,GB0006640972,2020-09-22 00:00:00,0.46
522,GB0006640972,2020-09-23 00:00:00,0.5
523,GB0006640972,2020-09-23 00:00:00,0.46
524,GB0006640972,2020-09-24 00:00:00,0.5
525,GB0006640972,2020-09-24 00:00:00,0.46
526,GB0006640972,2020-09-25 00:00:00,0.5
527,GB0006640972,2020-09-25 00:00:00,0.46
528,GB0006640972,2020-09-28 00:00:00,0.5
529,GB0006640972,2020-09-28 00:00:00,0.46
530,GB0006640972,2020-09-29 00:00:00,0.5
531,GB0006640972,2020-09-29 00:00:00,0.46
532,GB0006640972,2020-09-30 00:00:00,0.5
533,GB0006640972,2020-09-30 00:00:00,0.46
